run	brier	params
0	0.0028046207372565534	{'param_disc': {'view': 'sequence', 'window': 3, 'direction': 'backward', 'decoration': {'arc_frequency'}, 'pm4py:param:activity_key': 'concept:name'}, 'pm4py:param:activity_key': 'concept:name'}
1	0.0027989613578733967	{'param_disc': {'view': 'sequence', 'window': 3, 'direction': 'backward', 'decoration': {'arc_frequency'}, 'pm4py:param:activity_key': 'concept:name'}, 'pm4py:param:activity_key': 'concept:name'}
2	0.0028324314596512756	{'param_disc': {'view': 'sequence', 'window': 3, 'direction': 'backward', 'decoration': {'arc_frequency'}, 'pm4py:param:activity_key': 'concept:name'}, 'pm4py:param:activity_key': 'concept:name'}
